icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
FMNH;Антсирабато;Antsirabato;Анталаха;Antalaha;Мадагаскар;18:174°,36:354°
PANT;;Annette Island;;Annette Island;США;
FQAG;;Angoche;;Angoche;Мозамбик;
KANP;Ли;Lee;Аннаполис;Annapolis;США;
KANQ;;Tri-State Steuben Cty;Ангола;Angola;США;
EBAW;;Deurne;Антверпен;Antwerp;Бельгия;11:109°,29:289°
SPHY;Андауайлас;Andahuaylas;Андауайлас;Andahuaylas;Перу;03:036°,21:216°
UAAA;;St Anton;;St Anton;Австрия;05:051°,05:051°
TAPA;;V. C. Bird Intl;;"St. John&#039;s";Антигуа и Барбуда;
PANV;;Anvik;;Anvik;США;
KANW;;Ainsworth;;Ainsworth;США;
ENAN;Анденес;Andenes;Анденес;Andenes;Норвегия;
KANY;;Anthony;;Anthony;США;
;;Angus Downs;;Angus Downs;Австралия;
;Ароа;Aroa;Ароа;Aroa;Папуа - Новая Гвинея;
;Аннаберг;Annanberg;Аннаберг;Annanberg;Папуа - Новая Гвинея;
EDAC;;Altenburg Nobitz;Альтенбург;Altenburg;Германия;
;Абу-Дейя;Abou Deia;Абу-Дейя;Abou Deia;Чад;
KCID;;Anadolu University;Эскишехир;Eskisehir;Турция;
ZYAS;Аншан;Anshan;Аньшань;Anshan;Китай;
KAOH;;Allen County;Лима;Lima;США;
LIPY;;Falconara;Анкона;Ancona;Италия;
RJSA;Аомори;Aomori;Аомори;Aomori;Япония;06:060°,24:240°
LGKP;Карпатос;Karpathos;Карпатос;Karpathos;Греция;12:120°,30:300°
SARL;;Paso De Los Libres;;Paso De Los Libres;Аргентина;18:183°,36:003°
;Арона;Arona;Арона;Arona;Соломоновы острова;
KAOO;Мартинсбург;Martinsburg;;Martinsburg;США;
WMKA;Алор-Сетар;Alor Setar;Алор-Сетар;Alor Setar;Малайзия;
HTDA;;Amook;;Amook;США;
LIMW;;Corrado Gex;Аоста;Aosta;Италия;
VLAP;Аттопью;Attopeu;Аттопью;Attopeu;Лаос;
KAPA;;Arapahoe Co;Денвер;Denver;США;
SLAP;Аполо;Apolo;Аполо;Apolo;Боливия;18:178°,36:358°
KAPC;;Napa County;Напа;Napa;США;
SPAO;Сан-Хуан-Апосенто;San Juan Aposento;Сан-Хуан-Апосенто;San Juan Aposento;Перу;
KAPF;Неаполь;Naples;Неаполь;Naples;США;
KAPG;;Phillips AAF;;Aberdeen;США;
KAPH;;Camp A P Hill;;Bowling Green;США;
SKAP;Апиай;Apiay;Апиай;Apiay;Колумбия;
NTGD;;Apataki;;Apataki;Французская Полинезия;12:121°,30:301°
FQNP;Нампула;Nampula;Нампула;Nampula;Мозамбик;05:054°,23:234°,13:127°,31:307°
KAPN;;Alpena County Regional;;Alpena;США;
SKLC;Апартадо;Apartado;Апартадо;Apartado;Колумбия;
;Асапа;Asapa;Асапа;Asapa;Папуа - Новая Гвинея;
SNAL;;Arapiraca;;Arapiraca;Бразилия;
;Эйприл-Ривер;April River;Эйприл-Ривер;April River;Папуа - Новая Гвинея;
SWNS;Анаполис;Anapolis;;Anapolis;Бразилия;
KAPT;;Marion County;Джаспер;Jasper;США;
SSAP;;Apucarana;;Apucarana;Бразилия;
KAPV;Эппл Вэлли;Apple Valley;Эппл Вэлли;Apple Valley;США;
NSFA;;Faleolo;;Apia;Самоа;
SSOG;;Arapongas;;Arapongas;Бразилия;
SNAI;;Alto Parnaiba;;Alto Parnaiba;Бразилия;
